Cust_Id,Prod_Code,BU,Purchase_Date,Invoice_no,Sold_Units,Unit_Price,Total_Sale
1371,1594,JanSan,11/11/2017,66403,24,6.39,153.36
1371,35417,Healthcare,11/11/2017,66403,45,13.3,598.5
1371,31,Healthcare,11/11/2017,66924,2,5.49,10.98
1371,1594,JanSan,11/20/2017,67094,9,6.39,57.51
1371,35306,Food Services,11/25/2017,67321,1,3.2,3.2
1384,41772,Food Services,11/12/2017,66622,24,7.15,171.6
1565,35418,Food Services,11/11/2017,66930,1,7.7,7.7
1587,30966,Food Services,11/3/2017,66172,50,10,500
1587,35419,Healthcare,11/10/2017,66492,24,18,432
1587,30966,Food Services,11/11/2017,66931,24,10,240
1587,35419,Healthcare,11/11/2017,66931,24,18,432
1587,35419,Healthcare,11/24/2017,67256,5,18,90
1587,30966,Food Services,11/30/2017,67642,56,10,560
1587,35418,Food Services,11/30/2017,67642,2,7.7,15.4
1587,35419,Healthcare,11/30/2017,67642,3,18,54
1592,35600,JanSan,11/3/2017,66174,5,10.3,51.5
1592,35417,Food Services,11/11/2017,66550,35,10.2,357
1592,16930,Food Services,11/24/2017,67257,2,3.48,6.96
1599,1593,Food Services,11/11/2017,66410,3,3.49,10.47
1599,31009,Healthcare,11/11/2017,66410,4,8.3,33.2
1599,35418,Food Services,11/11/2017,66410,6,7.7,46.2
1599,35420,JanSan,11/11/2017,66410,63,5.3,333.9
1599,1593,Food Services,11/14/2017,66786,2,3.49,6.98
1599,31009,Healthcare,11/14/2017,66786,2,8.3,16.6
1599,1593,Food Services,11/21/2017,67568,2,3.49,6.98
1599,31009,Healthcare,11/21/2017,67568,4,8.3,33.2
1599,35417,Food Services,11/21/2017,67568,5,10.2,51
1612,35418,Food Services,11/11/2017,66412,2,7.7,15.4
1612,35419,Healthcare,11/11/2017,66552,5,18,90
1612,35418,Food Services,11/11/2017,66936,5,7.7,38.5
1612,35419,Healthcare,11/11/2017,66936,2,18,36
1612,35418,JanSan,11/25/2017,67326,2,7.7,15.4
1612,35419,JanSan,11/25/2017,67326,13,18,234
1629,31009,Food Services,11/10/2017,66494,2,8.3,16.6
1629,31009,Food Services,11/11/2017,66874,34,8.3,282.2
1629,31009,Food Services,11/24/2017,67259,2,8.3,16.6
1659,15949,Food Services,11/26/2017,67400,5,5.6,28
1666,35419,JanSan,11/6/2017,66329,54,18,972
1791,35418,JanSan,11/3/2017,66179,4,7.7,30.8
1791,35418,JanSan,11/6/2017,66333,3,7.7,23.1
1791,35419,JanSan,11/10/2017,66496,3,18,54
1791,35418,JanSan,11/12/2017,66626,23,7.7,177.1
1791,35420,JanSan,11/12/2017,66626,5,5.3,26.5
1791,15949,Food Services,11/11/2017,66875,2,5.6,11.2
1791,1593,Food Services,11/11/2017,66937,4,3.49,13.96
1791,31597,Food Services,11/19/2017,67027,4,20,80
1791,1593,Food Services,11/20/2017,67102,3,3.49,10.47
1791,1594,JanSan,11/20/2017,67102,3,6.39,19.17
1791,35419,JanSan,11/24/2017,67261,4,18,72
1791,35418,JanSan,11/21/2017,67478,3,7.7,23.1
1791,35419,JanSan,11/21/2017,67478,1,18,18
1793,1593,Food Services,11/3/2017,66180,3,3.49,10.47
1793,1594,JanSan,11/3/2017,66180,3,6.39,19.17
1793,15948,JanSan,11/11/2017,66939,1,7.25,7.25
1793,1593,Food Services,11/11/2017,66939,2,3.49,6.98
1793,15949,JanSan,11/24/2017,67262,4,5.6,22.4
1793,15948,JanSan,11/24/2017,67262,2,7.25,14.5
1793,1593,Food Services,11/24/2017,67262,4,3.49,13.96
1793,31009,JanSan,11/24/2017,67262,5,8.3,41.5
1793,15948,JanSan,11/30/2017,67648,1,7.25,7.25
1793,1593,Food Services,11/30/2017,67648,3,3.49,10.47
1793,31009,JanSan,11/30/2017,67648,33,8.3,273.9
1827,15949,JanSan,11/11/2017,66416,16,5.6,89.6
1827,1594,JanSan,11/11/2017,66416,42,6.39,268.38
1827,1593,Food Services,11/11/2017,66416,13,3.49,45.37
1827,35309,Healthcare,11/11/2017,66416,4,15.79,63.16
1827,15949,JanSan,11/21/2017,67189,7,5.6,39.2
1827,1594,JanSan,11/21/2017,67189,24,6.39,153.36
1827,1593,Food Services,11/21/2017,67189,24,3.49,83.76
1827,35309,Healthcare,11/21/2017,67189,5,15.79,78.95
1963,35418,JanSan,11/6/2017,66336,24,7.7,184.8
1963,35419,JanSan,11/6/2017,66336,6,18,108
1963,35418,JanSan,11/21/2017,67482,10,7.7,77
1963,35419,JanSan,11/21/2017,67482,10,18,180
1981,31,Food Services,11/11/2017,66421,31,5.49,170.19
1981,41772,Food Services,11/11/2017,66422,24,7.15,171.6
1981,41772,Food Services,11/21/2017,67193,24,7.15,171.6
1981,41772,Food Services,11/21/2017,67572,2,7.15,14.3
2012,15949,Food Services,11/3/2017,66182,243,5.6,1360.8
2012,15949,Food Services,11/24/2017,67264,36,5.6,201.6
2021,459,Food Services,11/11/2017,66557,9,5.9,53.1
2201,35419,JanSan,11/11/2017,66426,2,18,36
2201,31,Healthcare,11/11/2017,66426,1,5.49,5.49
2201,31036,Healthcare,11/14/2017,66799,2,8.5,17
2201,30966,Food Services,11/14/2017,66799,1,10,10
2201,31428,Food Services,11/14/2017,66799,234,30.6,7160.4
2201,35296,Healthcare,11/14/2017,66799,1,7.4,7.4
2201,35419,JanSan,11/14/2017,66799,10,18,180
2201,35417,Food Services,11/14/2017,66799,1,10.2,10.2
2201,456,Food Services,11/14/2017,66799,1,6.6,6.6
2201,35296,Healthcare,11/21/2017,67197,2,7.4,14.8
2201,35419,JanSan,11/21/2017,67197,1,18,18
2201,35417,Food Services,11/21/2017,67197,45,10.2,459
2296,15949,Food Services,11/11/2017,66562,16,5.6,89.6
2296,30966,Food Services,11/11/2017,66562,14,10,140
2296,15949,Food Services,11/25/2017,67334,80,5.6,448
2296,30966,Food Services,11/25/2017,67334,28,10,280
2430,35306,Food Services,11/10/2017,66500,1,3.2,3.2
2430,35306,Food Services,11/11/2017,66881,1,3.2,3.2
2501,1594,JanSan,11/13/2017,66708,16,6.39,102.24
2501,1593,Food Services,11/13/2017,66708,12,3.49,41.88
2501,1594,JanSan,11/13/2017,66708,2,6.39,12.78
2501,35417,Food Services,11/13/2017,66708,12,10.2,122.4
2501,1594,JanSan,11/21/2017,67498,16,6.39,102.24
2521,41772,Food Services,11/5/2017,66242,5,7.15,35.75
2521,41772,Food Services,11/12/2017,66637,45,7.15,321.75
2521,41772,Food Services,11/26/2017,67408,5,7.15,35.75
2658,35306,Food Services,11/10/2017,66501,5,3.2,16
2658,35419,JanSan,11/25/2017,67342,14,18,252
2658,35419,JanSan,11/26/2017,67410,20,18,360
2658,459,Food Services,11/26/2017,67410,5,5.9,29.5
2733,35600,Food Services,11/13/2017,66713,2,13,26
2733,35600,Food Services,11/21/2017,67502,2,13,26
2758,35419,Food Services,11/6/2017,66352,3,18,54
2758,35419,Food Services,11/14/2017,66827,3,18,54
2758,35419,Food Services,11/20/2017,67127,3,18,54
2758,35419,Food Services,11/21/2017,67504,244,18,4392
2796,35418,JanSan,11/21/2017,67506,1,7.7,7.7
2797,35417,Food Services,11/21/2017,67507,2,10.2,20.4
2820,35300,Food Services,11/11/2017,66571,2,4.2,8.4
2841,35419,JanSan,11/3/2017,66192,30,18,540
2841,35296,Healthcare,11/11/2017,66573,1,7.4,7.4
2841,35419,JanSan,11/11/2017,66573,4,18,72
2841,35296,Healthcare,11/11/2017,66958,1,7.4,7.4
2841,35419,JanSan,11/11/2017,66958,4,18,72
2841,35419,JanSan,11/25/2017,67350,4,18,72
2902,35309,Food Services,11/11/2017,66966,223,15.79,3521.17
2905,31597,Food Services,11/21/2017,67510,9,20,180
2906,30966,Food Services,11/21/2017,67599,10,10,100
2907,35306,Food Services,11/6/2017,66360,6,3.2,19.2
2907,35306,Food Services,11/14/2017,66834,2,3.2,6.4
2907,35306,Food Services,11/20/2017,67131,6,3.2,19.2
2907,35418,JanSan,11/20/2017,67131,2,7.7,15.4
2907,35306,Food Services,11/21/2017,67511,4,3.2,12.8
2907,35418,JanSan,11/21/2017,67511,2,7.7,15.4
2916,38504,Food Services,11/5/2017,66256,1,6.45,6.45
2916,35418,JanSan,11/12/2017,66647,30,7.7,231
2916,38504,Food Services,11/26/2017,67420,44,6.45,283.8
2919,35306,Food Services,11/5/2017,66259,1,3.2,3.2
2919,35300,Food Services,11/5/2017,66259,1,4.2,4.2
2919,35418,JanSan,11/5/2017,66258,2,7.7,15.4
2919,35418,JanSan,11/25/2017,67356,3,7.7,23.1
2919,88320,Healthcare,11/25/2017,67356,1,4.3,4.3
3011,35418,Food Services,11/3/2017,66198,5,7.7,38.5
3011,35418,Food Services,11/20/2017,67137,4,7.7,30.8
3038,30966,Food Services,11/3/2017,66200,24,10,240
3038,30966,Food Services,11/11/2017,66893,90,10,900
3048,31009,Food Services,11/6/2017,66371,2,8.3,16.6
3051,456,Food Services,11/5/2017,66264,1,6.6,6.6
3051,35419,Food Services,11/12/2017,66651,10,18,180
3051,35419,Food Services,11/19/2017,67045,1,18,18
3069,35306,Food Services,11/11/2017,66451,3,3.2,9.6
3069,35417,Food Services,11/11/2017,66451,5,10.2,51
3069,35600,Food Services,11/11/2017,66451,54,13,702
3069,35306,Food Services,11/13/2017,66723,5,3.2,16
3069,30966,Food Services,11/21/2017,67218,2,10,20
3112,1593,Food Services,11/11/2017,66458,1,3.49,3.49
3112,31009,Food Services,11/11/2017,66458,1,8.3,8.3
3112,35418,Food Services,11/11/2017,66458,15,7.7,115.5
3112,35306,Food Services,11/14/2017,66848,62,3.2,198.4
3112,35418,Food Services,11/14/2017,66848,1,7.7,7.7
3112,41772,Food Services,11/14/2017,66848,3,7.15,21.45
3112,35306,Food Services,11/21/2017,67225,1,3.2,3.2
3112,35418,Food Services,11/21/2017,67225,31,7.7,238.7
3112,35293,Food Services,11/21/2017,67225,1,5,5
3112,41772,Food Services,11/21/2017,67225,1,7.15,7.15
3112,1593,Food Services,11/21/2017,67606,33,3.49,115.17
3112,1698,JanSan,11/21/2017,67606,1,3.5,3.5
3112,35306,Food Services,11/21/2017,67606,33,3.2,105.6
3112,35418,Food Services,11/21/2017,67606,1,7.7,7.7
3112,35417,Food Services,11/21/2017,67606,2,10.2,20.4
3112,41772,Food Services,11/21/2017,67606,11,7.15,78.65
3126,35417,Food Services,11/11/2017,66462,5,10.2,51
3126,35293,Food Services,11/14/2017,66855,2,5,10
1,35419,Healthcare,12/13/2017,66668,9,18,162
1,1593,Food Services,12/21/2017,67435,3,3.49,10.47
1,35419,Healthcare,12/21/2017,67435,4,18,72
10,35309,Healthcare,12/3/2017,66146,5,15.79,78.95
10,68967,Healthcare,12/3/2017,66146,21,7.4,155.4
10,31428,Food Services,12/3/2017,66146,30,30.6,918
10,1594,JanSan,12/3/2017,66147,23,6.39,146.97
10,35296,Healthcare,12/3/2017,66147,34,7.4,251.6
10,35300,Food Services,12/3/2017,66146,2,4.2,8.4
10,35417,Healthcare,12/3/2017,66147,44,13.3,585.2
10,456,Food Services,12/3/2017,66146,2,6.6,13.2
10,30830,Healthcare,12/5/2017,66213,34,11.2,380.8
10,35309,Healthcare,12/5/2017,66213,56,15.79,884.24
10,35300,Food Services,12/5/2017,66213,63,4.2,264.6
10,35417,Healthcare,12/5/2017,66213,245,13.3,3258.5
10,456,Food Services,12/5/2017,66213,3,6.6,19.8
10,30388,Food Services,12/5/2017,66214,24,8,192
10,459,Food Services,12/6/2017,66285,24,5.9,141.6
10,15949,Food Services,12/12/2017,66381,24,5.6,134.4
10,30966,Food Services,12/12/2017,66381,24,10,240
10,31428,Food Services,12/12/2017,66382,256,30.6,7833.6
10,35306,Healthcare,12/12/2017,66381,40,3.2,128
10,35418,Healthcare,12/12/2017,66381,6,7.7,46.2
10,35419,Healthcare,12/12/2017,66381,6,18,108
10,35600,JanSan,12/12/2017,66381,7,10.3,72.1
10,31428,Food Services,12/10/2017,66470,32,30.6,979.2
10,31428,Food Services,12/10/2017,66471,7,30.6,214.2
10,1594,JanSan,12/10/2017,66470,8,6.39,51.12
10,35296,Healthcare,12/10/2017,66471,2,7.4,14.8
10,35300,Food Services,12/10/2017,66470,46,4.2,193.2
10,35417,Healthcare,12/10/2017,66471,57,13.3,758.1
10,16930,Food Services,12/10/2017,66470,25,3.48,87
10,30419,Food Services,12/12/2017,66605,6,7.3,43.8
10,35300,Food Services,12/12/2017,66605,25,4.2,105
10,456,Food Services,12/13/2017,66674,6,6.6,39.6
10,15949,Food Services,12/14/2017,66734,25,5.6,140
10,30966,Food Services,12/14/2017,66734,67,10,670
10,35306,Healthcare,12/14/2017,66734,4,3.2,12.8
10,35418,Healthcare,12/14/2017,66734,2,7.7,15.4
10,35419,Healthcare,12/14/2017,66734,10,18,180
10,35600,JanSan,12/14/2017,66734,5,10.3,51.5
10,31428,Food Services,12/11/2017,66857,2,30.6,61.2
10,16930,Food Services,12/11/2017,66857,22,3.48,76.56
10,35296,Healthcare,12/11/2017,66903,1,7.4,7.4
10,35300,Food Services,12/19/2017,66993,1,4.2,4.2
10,456,Food Services,12/19/2017,66993,56,6.6,369.6
10,30388,Food Services,12/19/2017,66993,22,8,176
10,35417,Healthcare,12/20/2017,67063,1,13.3,13.3
10,456,Food Services,12/20/2017,67062,1,6.6,6.6
10,15949,Food Services,12/21/2017,67155,10,5.6,56
10,31036,Healthcare,12/21/2017,67155,5,8.5,42.5
10,30966,Food Services,12/21/2017,67155,20,10,200
10,35306,Healthcare,12/21/2017,67155,9,3.2,28.8
10,35418,Healthcare,12/21/2017,67155,8,7.7,61.6
10,35419,Healthcare,12/21/2017,67155,66,18,1188
10,636,Food Services,12/24/2017,67236,33,13,429
10,30830,Healthcare,12/24/2017,67236,2,11.2,22.4
10,30830,Healthcare,12/24/2017,67239,2,11.2,22.4
10,31428,Food Services,12/24/2017,67239,3,30.6,91.8
10,35300,Food Services,12/24/2017,67236,3,4.2,12.6
10,459,Food Services,12/24/2017,67236,2,5.9,11.8
10,30358,Healthcare,12/24/2017,67236,56,5.7,319.2
10,35296,Healthcare,12/25/2017,67301,35,7.4,259
10,35300,Food Services,12/26/2017,67372,34,4.2,142.8
10,456,Food Services,12/26/2017,67372,13,6.6,85.8
10,460,Healthcare,12/26/2017,67372,6,13.99,83.94
10,31478,Healthcare,12/21/2017,67441,67,9,603
10,456,Food Services,12/21/2017,67442,313,6.6,2065.8
10,15949,Food Services,12/21/2017,67530,25,5.6,140
10,31036,Healthcare,12/21/2017,67530,5,8.5,42.5
10,30966,Food Services,12/21/2017,67530,30,10,300
10,35306,Healthcare,12/21/2017,67530,13,3.2,41.6
10,35418,Healthcare,12/21/2017,67530,9,7.7,69.3
10,35419,Healthcare,12/21/2017,67530,4,18,72
10,35600,JanSan,12/21/2017,67530,6,10.3,61.8
33,35293,Food Services,12/14/2017,66735,6,5,30
33,30966,Food Services,12/21/2017,67157,6,10,60
33,35293,Food Services,12/21/2017,67157,6,5,30
33,35293,Food Services,12/21/2017,67532,1,5,5
97,1593,Food Services,12/11/2017,66526,3,3.49,10.47
97,1593,Food Services,12/11/2017,66914,10,3.49,34.9
97,1593,Food Services,12/31/2017,67619,3,3.49,10.47
153,38504,Food Services,12/12/2017,66386,2,6.45,12.9
153,15949,Food Services,12/11/2017,66860,4,5.6,22.4
153,15949,Food Services,12/21/2017,67160,6,5.6,33.6
153,38504,Food Services,12/24/2017,67247,46,6.45,296.7
153,68970,Food Services,12/21/2017,67539,2,5.75,11.5
153,38504,Food Services,12/21/2017,67539,3,6.45,19.35
159,31597,Food Services,12/5/2017,66223,3,20,60
172,35418,Healthcare,12/5/2017,66226,5,7.7,38.5
172,35418,Healthcare,12/11/2017,66532,6,7.7,46.2
172,35419,Healthcare,12/11/2017,66532,3,18,54
172,35418,Healthcare,12/12/2017,66612,3,7.7,23.1
172,35419,Healthcare,12/12/2017,66612,7,18,126
172,35418,Healthcare,12/21/2017,67164,4,7.7,30.8
172,35418,Healthcare,12/21/2017,67547,1,7.7,7.7
172,35419,Healthcare,12/21/2017,67547,6,18,108
197,31009,Healthcare,12/6/2017,66293,35,8.3,290.5
197,459,Food Services,12/6/2017,66293,2,5.9,11.8
197,452,JanSan,12/13/2017,66680,3,8.03,24.09
197,459,Food Services,12/13/2017,66680,3,5.9,17.7
197,456,Food Services,12/13/2017,66680,3,6.6,19.8
197,31009,Healthcare,12/20/2017,67070,5,8.3,41.5
197,1594,JanSan,12/20/2017,67070,14,6.39,89.46
197,459,Food Services,12/20/2017,67070,6,5.9,35.4
197,452,JanSan,12/21/2017,67449,34,8.03,273.02
220,30966,Food Services,12/12/2017,66390,20,10,200
220,30966,Food Services,12/14/2017,66752,58,10,580
220,30966,Food Services,12/21/2017,67167,20,10,200
220,30966,Food Services,12/21/2017,67552,44,10,440
283,35418,Healthcare,12/12/2017,66393,8,7.7,61.6
283,35418,Food Services,12/21/2017,67169,12,7.7,92.4
296,35600,JanSan,12/6/2017,66302,6,10.3,61.8
296,1698,JanSan,12/13/2017,66688,6,3.5,21
296,35600,JanSan,12/13/2017,66688,6,10.3,61.8
296,1698,JanSan,12/20/2017,67079,6,3.5,21
296,35306,Healthcare,12/20/2017,67079,4,3.2,12.8
